0
"(Abbaszadeh Afshar et al., 2018)"
"(Villagran et al., 2011)"
"(Villareal et al., 2013)"
"(Villena et al., 2018)"
"(von Dohlen et al., 2018)"
"(Votypka et al., 2012)"
"(Votypka et al., 2012)"
"(Vot√Ωpka et al., 2019)"
"(Votypka et al., 2010)"
"(Votypka et al., 2018)"
"(Vot√Ωpka et al., 2013)"
"(Voyvoda et al., 2004)"
"(Waiswa et al., 2003)"
"(Wang et al., 2011)"
"(Weber et al., 2019)"
"(Wei et al., Na)"
"(Weny et al., 2017)"
"(Whitehorn et al., 2011)"
"(Whitehorn et al., 2013)"
"(Wilfert et al., 2011)"
"(Willi et al., 2015)"
"(Williams et al., 2019)"
"(Wong et al., 2016)"
"(Xu et al., 2015)"
"(Xu et al., 2018)"
"(Yabsley & Noblet, 2002)"
"(Yabsley et al., 2001)"
"(Yadav et al., 2019)"
"(YaghoobiErshadi & Javadian, 1996)"
"(Yefi-Quinteros et al., 2018)"
"(Yurchenko et al., Na)"
"(Yusufmia et al., 2010)"
"(Zaidi et al., 2017)"
"(Zanet et al., 2014)"
"(Zangooie et al., 2018)"
"(Zecca et al., 2017)"
"(Zeleke & Bekele, 2001)"
"(Zerpa et al., 2003)"
"(Zhang et al., 2016)"
"(Zhao et al., 2016)"
"(Ziccardi et al., Na)"
"(Zivicnjak et al., 2011)"
"(Zivicnjak et al., 2005)"
"(Zoghlami et al., 2014)"
"(Zorrilla et al., 2017)"
"(Zulpo et al., 2012)"
"(Montoya et al., 2018)"
"(Risueño et al., Na)"
"(Diallo et al., Na)"
"(Dias et al., 2011)"
"(Ouma et al., 2000)"
"(Ouedraogo et al., Na)"
"(Laha &  Sasmal, 2009)"
"(Manrique Abril et al., 2012)"
"(Hauptmanova et al., Na)"
"(Del Rio et al., Na)"
"(Jaimes-Duenez et al., Na)"
"(Charles et al., Na)"
"(Silva et al., 2012)"
"(Rojas et al., 2014)"
"(Jing et al., 2009)"
"(Aguiar et al., 2010)"
"(Millan et al., 2011)"
"(Elhaig et al., 2013)"
"(Harvey et al., 2017)"
"(Paradies et al., 2007)"
"(Menn et al., 2010)"
"(Quaresma et al., 2011)"
"(Rodriguez et al., Na)"
"(Miro et al., 2012)"
"(Herrera et al., Na)"
"(Mohammad et al., Na)"
"(de Souza &
-Correa, 2019)"
