year,study_ID,Column1,year_of_collection ,continent ,country,latitude,longitude,hs1,hs,IS03,Order,host_species1,host_species,host1,host,dm,dignostic_method,genus,Tryp_species1,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,settings,study_type,notes,all_type,all_type2,md,insec1,insec,sm
,"(Chitimia et al., 2011)",,,Europe,Spain,,,,,ESP,,,,dogs,dogs,mol,PCR,9,Leishmania_infantum,Leishmania_infantum,193,20,10,,https://www.sciencedirect.com/science/article/pii/S0304401711002779?via%3Dihub,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2003,"(Clausen et al., 2003)",cited,2000,Asia,Mongolia,46.8625° N,103.8467° E,1,1,MNG,Perissodactyla,Equus ferus caballus,Equus ferus caballus,equids,equids,sero,agreement: ELISA and CFT,,Trypanosoma_equiperdum,Trypanosoma_equiperdum,1121,55,4.9,12860063,55,1066,0.049,,,cross_sectional ,agreement: ELISA and CFT,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2006,"(Colla et al., 2006)",cited,2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_bimaculatus,B. bimaculatus ,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,130,11,8.7,34,11,119,0.087,WM,,cross_sectional ,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",cited,2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_fervidus,B. fervidus,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,50,3,5.3,34,3,47,0.053,WM,,cross_sectional ,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",cited,2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_griseocollis,B. griseocollis,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,98,10,10.2,34,10,88,0.102,WM,,cross_sectional ,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",cited,2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_impatiens,B. impatiens ,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,212,53,25,34,53,159,0.25,WM,,cross_sectional ,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",cited,2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_rufocinctus,B. rufocinctus ,bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,55,41,75,34,41,14,0.75,WM,,cross_sectional ,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2006,"(Colla et al., 2006)",cited,2004 and 2005,North America,Canada,45°27’N,75°42’W,1,1,CAN,Hymenopterans,Bombus_borealis,"B. borealis, B. pennsylvanicus, B. perplexus, B. sandersoni, B. terricola, B. vagans ",bees (mono),bees,micro,"microscopic	examination",Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,83,9,11.1,34,9,74,0.111,WM,,cross_sectional ,workers and males,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2016,"(Comeaux et al., 2016)",cited,,North America,United States,,,,,USA,,Sus scrofa ,feral swine,animals,animals,mol,PCR,5,Trypanosoma_cruzi,Trypanosoma_cruzi,54,3,6,K3,3,51,0.06,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Concannon et al., 2005)",,,,UK,,,,,GBR,,,,bats,bats,mol,PCR,1,Trypanosoma_spp.,Trypanosoma_spp.,60,11,18.33333333,,https://www.cambridge.org/core/journals/parasitology/article/molecular-characterization-of-haemoparasites-infecting-bats-microchiroptera-in-cornwall-uk/DF3412FA4AA3D77FE0807F1C56DE4B10,,,16174413,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Constantino et al., 2015)",,,,Brazil,,,,,BRA,,,,dogs ,dogs,sero, DPP ,9,Leishmania_spp.,Leishmania_spp.,191,13,6.81,,https://www.researchgate.net/publication/275346182_Seroepidemiology_of_Leishmania_spp_in_dogs_residing_in_Telemaco_Borba_Parana_Brazil_Soroepidemiologia_da_Leishmania_spp_em_caes_do_Municipio_de_Telemaco_Borba_Parana_Brasil,,,NA,,,,8,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_bifarius,B. bifarius,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,2096,57,2.72,22119631,57,2039,0.0272,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_bimaculatus,B. bimaculatus ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,1070,31,2.9,22119631,31,1039,0.029,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_fervidus,B. fervidus,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,55,1,1.82,22119631,1,54,0.0182,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_flavifrons,B. flavifrons,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,119,2,1.68,22119631,2,117,0.0168,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_frigidus,B. frigidus,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,12,3,25,22119631,3,9,0.25,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_impatiens,B. impatiens,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,2864,95,3.32,22119631,95,2769,0.0332,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_melanopygus,B. melanopygus ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,70,5,7.1,22119631,5,65,0.071,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_mixtus,B. mixtus,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,468,45,9.62,22119631,45,423,0.0962,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_occidentalis,B. occidentalis,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,172,4,2.33,22119631,4,168,0.0233,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_pensylvanicus,B. pensylvanicus ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,545,1,0.18,22119631,1,544,0.0018,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_sylvicola,B. sylvicola,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,43,1,2.33,22119631,1,42,0.0233,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_ternarius,B. ternarius,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,15,3,20,22119631,3,12,0.2,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2012,"(Cordes et al., 2012)",cited,2007 and 2009,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,Bombus_vosnesenskii,B. vosnesenskii ,bees (mono),bees,mol,microscopic examination and PCR,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,903,20,2.21,22119631,20,883,0.0221,W,,cross_sectional ,wild bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
,"(Coronado et al., 2009)",,,,Chile,,,,,CHL,,,,,truebugs,mol," polymerase chain reaction, PCR ",5,Trypanosoma_cruzi,Trypanosoma_cruzi,227,132,58.14977974,,http://www.ajtmh.org/docserver/fulltext/14761645/81/4/656.pdf?expires=1607976781&id=id&accname=guest&checksum=3C0AF168504E274EE76DE7BCF91DA74B,,,19815882,,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,sys
,"(Correa et al., 2016)",nc,,,Brazil,,,,,BRA,,,,fish,fish,micro, NA ,1,Trypanosoma_spp.,Trypanosoma_spp.,47,42,89.4,,https://www.scielo.br/pdf/rbpv/v25n3/1984-2961-rbpv-S1984-29612016049.pdf,,,27580397,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Cortada et al., 2004)",cited,,,Brazil,,,,,BRA,,,,dogs,dogs,sero, IFAT,9,Leishmania_spp.,Leishmania_spp.,73,55,75.34246575,,https://link.springer.com/article/10.1023%2FB%3AVERC.0000035014.80785.b7,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2012,"(Cortes et al., 2012)",cited,2009,Europe,Portugal,38°42’N,09°10’W,1,1,PRT,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,DAT,9,Leishmania_spp.,Leishmania_spp.,3974,251,6.31,27,251,3723,0.0631,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(Cortez et al., 2006)",,,,Bolivia,,,,,BOL,,,,animals,animals,sero,IFA,5,Trypanosoma_cruzi,Trypanosoma_cruzi,55,23,41.82,,https://www.sciencedirect.com/science/article/pii/S0014489406001032?via%3Dihub,,,16797540,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Coulibaly et al., 2018)",,2011-2013,,Mali,,,,,MLI,,,,,flies,mol, PCR ,9,Leishmania_major,Leishmania_major,86,3,3.5,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-018-2909-2,,,29898753,,,,2,Leishmania_spp.,dixenous_spp.,insects,1,sys
2011,"(Coura-Vital et al., 2011)",cited,NA,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,mol,PCR_RFLP,9,Leishmania_infantum,Leishmania_infantum,1443,356,24.7,21858243,356,1087,0.247,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(Couto et al., 2010)",,,Europe,Spain,,,,,ESP,,,,dogs,dogs,sero, NA ,9,Leishmania_infantum,Leishmania_infantum,131,7,5.34351145,,,,,20420531,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2002,"(Cringoli et al., 2002)",cited,NA,Europe,Italy,41°54’N,12°29’E,1,1,ITA,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,IFAT,9,Leishmania_infantum,Leishmania_infantum,1058,222,21,12079736,222,836,0.21,,,cross_sectional ,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2006,"(Crisante et al., 2006)",cited,1995–2005,south America,Venezuela,10°30’N,66°55’W,1,1,VEN,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,"in at least one (DAT, ELISA, IFAT)",5,Trypanosoma_cruzi,Trypanosoma_cruzi,410,253,61.7,16797466,253,157,0.617,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Cuba et al., 2002)",,,,Peru,,,,,PER,,,,,truebugs,micro, NA ,1,Trypanosoma_spp.,Trypanosoma_spp.,257,10.28,4,,https://pubmed.ncbi.nlm.nih.gov/12016438/,,,12016438,,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,sys
,"(Curi et al., 2006)",,,,Brazil,,,,,BRA,,,,animals,animals,sero, NA ,9,Leishmania_spp.,Leishmania_spp.,95,10,10.52631579,,https://www.scielo.br/pdf/mioc/v101n1/v101n1a19.pdf,,,16699717,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Curtis-Robles et al., 2017)",,,,Mexico,,,,,MEX,,,,dogs,dogs,sero, NA ,5,Trypanosoma_cruzi,Trypanosoma_cruzi,209,5,2.39,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5392625/,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
2019,"(D'Alvise et al., 2019)",cited,2006-2007,Europe,Germany,52°30’N,13°25’E,1,1,DEU,Hymenopterans,Apis_mellifera,Apis mellifera,bees (mono),bees,mol," qPCR, PCR ",Crithidia_spp.,C.mellificae&L.passim,"Crithidia_mellificae,_Lotmaria_passim",1064,552,52,31624548,552,512,0.52,W,,cross_sectional ,bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2015,"(D'Andrea et al., 2015)",cited,2010  and 2011,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero, ELISA,9,Leishmania_infantum,Leishmania_infantum,4547,509,11.2,50,509,4038,0.112,,,cross_sectional ,ELISA:largest sample size,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2015,"(da Costa et al., 2015)",cited,2012,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero," (ELISA, IFAT,  DPP)",9,Leishmania_infantum,Leishmania_infantum,960,280,29,26684524,280,680,0.29,,,cross_sectional ,avar three tests,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(da Costa et al., 2016)",,,,Brazil,,,,,BRA,,,,bats,bats,micro, microscopy ,5,Trypanosoma_cruzi,Trypanosoma_cruzi,157,8,5.095541401,,https://reader.elsevier.com/reader/sd/pii/S0001706X16306970?token=0A5B0F1886F6EA0564DD1D36CE139037C2BB119F0EE120F013D0F9DAE5BDBF230E1AD3A7C29A91820C446F2E30846B2E,,,27633579,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Daflon-Teixeira et al., 2019)",,,,Brazil,,,,,BRA,,,,dogs,truebugs,mol, enzyme-linked immunosorbent assay ,5,Trypanosoma_cruzi,Trypanosoma_cruzi,55,12,21.82,,http://www.ajtmh.org/docserver/fulltext/14761645/100/2/tpmd180480.pdf?expires=1607007180&id=id&accname=guest&checksum=E0564DBDAD9F0636C5C63B102B0CBDD8,,,30734691,,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,sys
,"(Dantas-Torres et al., 2010)",,,,Brazil,,,,,BRA,,,,bats,dogs,sero, IFAT,9,Leishmania_infantum,Leishmania_infantum,41,12,29.26829268,,https://www.sciencedirect.com/science/article/pii/S0304401710001007?via%3Dihub,,,20227186,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(Dario et al., 2017)",,,,Brazil,,,,,BRA,,,,animals,bats,mol," nested PCR, PCR ",5,Trypanosoma_cruzi,Trypanosoma_cruzi,90,34,23.16076294,,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0005790,,,28727769,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Dario et al., 2017)",,,,Brazil,,,,,BRA,,,,bats,animals,micro," cultures, microscopy ",1,Trypanosoma_spp.,Trypanosoma_spp.,73,2,2.74,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188412,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Dario et al., 2017)",,,,Brazil,,,,,BRA,,,,bats,bats,micro," cultures, microscopy ",1,Trypanosoma_spp.,Trypanosoma_spp.,186,42,22.58,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188412,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Davami et al., 2014)",,,,Iran,,,,,IRN,,,,rodents,rodents,mol,PCR,9,Leishmania_major,Leishmania_major,55,8,14.55,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4478425/#!po=34.3750,,,26114127,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2000,"(Davison et al., 2000)",cited,1994-1995,Asia,Indonesia,06°09’S,106°49’E,1,1,IDN,Artiodactyla,Bubalus bubalis,Bubalus bubalis,buffaloes,buffaloes,sero,MHCT ,1,Trypanosoma_evansi,Trypanosoma_evansi,2387,96,4,10722144,96,2291,0.04,,,cross_sectional ,Surra,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Dayo et al., 2010)",,,,Burkina Faso,,,,,BFA,,,,cattle,cattle,micro," buffy coat , BCT ",1,Trypanosoma_spp.,Trypanosoma_spp.,363,27,7.54,,https://www.sciencedirect.com/science/article/pii/S0034528809002653?via%3Dihub,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
,"(Curi et al., 2014)",,,,Brazil,,,,,BRA,,,,dogs,dogs,sero,sero,9,Leishmania_spp.,Leishmania_spp.,291,58,19.93,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0104003#s2,,,25089629,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2012,"(de Almeida et al., 2012)",cited,2009-2010,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero, IFAT,9,Leishmania_spp.,Leishmania_spp.,430,95,22.1,23184322,95,335,0.221,,,cross_sectional ,just one  test,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2007,"(de Avelar et al., 2007)",cited,,South America,Brazil,,,,,BRA,,,,fleas (mono),fleas,mol,PCR,Leptomonas_spp.,Leptomonas_spp.,Leptomonas_spp.,1500,25,1.666666667,https://www.sciencedirect.com/science/article/pii/S0022201106001960,25,1475,1.666666667,,,cross_sectional ,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2007,"(de Avelar et al., 2007)",cited,2004-2005,South America,Brazil,15°47’S,47°55’W,3,3,BRA,Siphonaptera,Ctenocephalides felis felis ,Ctenocephalides felis felis ,fleas (mono),fleas,micro,Giemsa stained ,Leptomonas_spp.,Leptomonas_spp.,Leptomonas_sp.,790,32,4,17113100,32,758,0.04,,from dogs,cross_sectional ,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
,"(de Carvalho et al., 2010)",cited,,,Brazil,,,,,BRA,,,,flies,flies,mol, PCR ,9,Leishmania_infantum,Leishmania_infantum,50,2,4,,https://www.sciencedirect.com/science/article/pii/S0001706X10001038?via%3Dihub,,,20457120,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2018,"(de Carvalho et al., 2018)",cited,2016-2017,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,TR DPP and ELISA,9,Leishmania_spp.,Leishmania_spp.,600,115,19.2,56,115,485,0.192,,,cross_sectional ,TR DPP and ELISA,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(de Lima et al., 2017)",,,,Brazil,,,,,BRA,,,,dogs,dogs,sero, ELISA ,9,Leishmania_infantum,Leishmania_infantum,327,48,14.68,,https://www.scielo.br/pdf/rsbmt/v50n1/0037-8682-rsbmt-50-01-00061.pdf,,,28327803,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2018,"(de Matos et al., 2018)",cited,2004 and 2014,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,Felis catus domesticus ,Felis catus domesticus ,cats,cats,sero, agreement: ELISA and IFAT,5,Trypanosoma_cruzi,Trypanosoma_cruzi,673,51,7.6,29846450,51,622,0.076,,,cross_sectional ,agreement: ELISA and IFAT,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2018,"(de Matos et al., 2018)",cited,2004 and 2014,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,Felis catus domesticus ,Felis catus domesticus ,cats,cats,sero,agreement: ELISA and IFAT,9,Leishmania_spp.,Leishmania_spp.,679,58,8.5,29846450,58,621,0.085,,,cross_sectional ,agreement: ELISA and IFAT,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
,"(de Mendonca et al., 2015)",,,,Brazil,,,,,BRA,,,,dogs,dogs,sero," enzyme-linked immunosorbent assay, ELISA, cultures, DPP ",9,Leishmania_infantum,Leishmania_infantum,70,43,61.42857143,,https://www.scielo.br/pdf/rbpv/v24n1/1984-2961-rbpv-24-1-92.pdf,,,25909260,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(de Oliveira et al., 2010)",,,,Brazil,,,,,BRA,,,,dogs,dogs,sero, immunoenzymatic assay ,9,Leishmania_spp.,Leishmania_spp.,312,21,6.730769231,,https://www.scielo.br/pdf/rsbmt/v43n4/a13v43n4.pdf,,,20802939,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(de Oliveira et al., 2015)",,,,Brazil,,,,,BRA,,,,,flies,mol,PCR,9,Leishmania_spp.,Leishmania_spp.,126,1,0.69,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4708026/,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,insects,1,sys
,"(de Oliveira et al., 2017)",,,,Brazil,,,,,BRA,,,,equids,equids,sero, NA ,9,Leishmania_spp.,Leishmania_spp.,257,62,24.12451362,,https://www.researchgate.net/publication/316019911_Seroepidemiology_of_Leishmania_spp_In_equids_from_Uberlandia_Minas_Gerais_Brazil,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(de Padua et al., 2011)",,,,Brazil,,,,,BRA,,,,fish,fish,micro, smears ,1,Trypanosoma_spp.,Trypanosoma_spp.,10,3,30,,https://www.scielo.br/pdf/rbpv/v20n1/a19v20n1.pdf,,,NA,,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,sys
2010,"(de Paula et al., 2010)",cited,2002-2004,South America,Brazil,15°47’S,47°55’W,2,2,BRA,Hemiptera,Triatoma sordida ,"Triatoma sordida , Panstrongylus diasi, Panstrongylus megistus, Panstrongylus geniculatus, Rhodnius neglectus.",truebugs,truebugs,micro,microscopic examination,5,Trypanosoma_cruzi,Trypanosoma_cruzi,771,21,2.7,20305960,21,750,0.027,,,cross_sectional ,avar two pcr protocol,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
,"(de Seabra et al., 2015)",,,,Brazil,,,,,BRA,,,, dogs ,dogs,sero," IFAT,  polymerase chain reaction, PCR ",9,Leishmania_spp.,Leishmania_spp.,373,17,4.6,,https://www.scielo.br/pdf/rbpv/v24n4/1984-2961-rbpv-S1984-29612015046.pdf,,,26689180,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
,"(de Sousa et al., 2014)",cited,,,Brazil,,,,,BRA,,,,cats,cats,sero," indirect fluorescent antibody test, IFAT, IFA ",9,Leishmania_infantum,Leishmania_infantum,151,34,22.51655629,,https://www.scielo.br/pdf/rbpv/v23n4/0103-846X-rbpv-23-04-449.pdf,,,25517522,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2000,"(de Thoisy et al., 2000)",,1994-1995,Europe,France,48°50’N,02°20’E,2,2,FRA,animals,Didelphis marsupialis,"Didelphis marsupialis, D. albiventris,  Philander opossum, Caluromys philander, Bradypus didactylus, Choloepus didactylus, Dasypus novemcinctus, D. kappleri, 
Tamandua tetradactyla, Nasua nasua, Galictis vittata, Eira barbara, Coendou prehensilis, Makalata didelphoides, Echimys chrysurus, 
Myoprocta acouchi, Dasyprocta agouti, Agouti paca, Maxama americana, M. gouazoubira, Saguinus midas, Saimiri sciureus, Pithecia pithecia, Alouatta seniculus. ",reptiles,animals,micro,"microscopic	examination ",,Trypanosomatidae_spp.,Trypanosomatidae_spp.,1353,259,19.1,11128476,259,1094,0.191,,,cross_sectional ,Trypanosomatidae ,7,Trypanosomatidae_spp.,Trypanosomatidae_spp.,none_insects,2,meta
,"(Deiro et al., 2018)",,,,Brazil,,,,,BRA,,,,dogs,dogs,sero," enzyme-linked immunosorbent assay, ELISA ",9,Leishmania_infantum,Leishmania_infantum,353,92,26.1,,,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,sys
2004,"(Delafosse & Doutoum, 2004)",cited,1997-1998,Africa,Chad,12°10’N,14°59’E,1,1,TCD,Artiodactyla,Camelus dromedarius ,Camelus dromedarius ,camels,camels,sero,avar(CATT and BCT),1,Trypanosoma_evansi,Trypanosoma_evansi,2831,495,17.5,14746975,495,2336,0.175,,,cross_sectional ,avar(CATT and BCT),1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2006,"(Delafosse et al., 2006)",cited,1999-2000,Africa,Chad,12°10’N,14°59’E,1,1,TCD,Artiodactyla,Bos taurus ,Bos taurus.,cattle,cattle,sero,avar(ELISAa and BCT),1,Trypanosoma_vivax,Trypanosoma_vivax,933,209,22.4,16321453,209,724,0.224,,,longitudinal,avar(ELISAa and BCT),1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
,"(Demir & Karakus, 2015)",,,,Turkey,,,,,TUR,,,,,flies,mol, NA ,9,Leishmania_tropica,Leishmania_tropica,196,40,20,,https://www.sciencedirect.com/science/article/pii/S0001706X15300036?via%3Dihub,,,NA,,,,2,Leishmania_spp.,dixenous_spp.,insects,1,sys
2014,"(Dennis et al., 2014)",cited,2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,Glossina pallidipes ,Glossina pallidipes ,flies,flies,mol, PCR ,1,Trypanosoma_simiae,Trypanosoma_simiae,419,4,1,25138709,4,415,0.01,,,cross_sectional ,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
