year,study_ID,year_of_collection ,continent ,country,latitude,longitude,sociality,life expectency,IS03,Order,host_species2,host_species12,host_species,host1,host,dm,dignostic_method,genus1,genus2,genus,Tryp_species,Tryp_species12,Tryp_species2,total,cases,all_prevelence_,ID,infected,not_infected,p,WM,settings,study_type,Column1,notes,all_type,all_type2,md,insec1,insec,sm
2007,"(Miro et al., 2007)",1996-2006,Europe,Spain,40°25’N,03°45’W,1,1,ESP,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero,IFAT,,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,1803,141,7.8,17323100,141,1662,0.078,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2007,"(Simukoko et al., 2007)",2003,africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,734,224,30.5,17493757,224,510,0.305,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2007,"(Simukoko et al., 2007)",2003,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Artiodactyla,,Capra hircus,Capra hircus,goats,goats,mol,PCR,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,333,11,3.3,17493757,11,322,0.033,,,cross_sectional ,,only 4% (3/69) represent monoxenous trypanoso and short coomunication ,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2007,"(Simukoko et al., 2007)",2003,africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Artiodactyla,,Sus domesticus ,Sus domesticus ,pigs,pigs,mol,PCR,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,324,21,6.5,17493757,21,303,0.065,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2007,"(Simukoko et al., 2007)",2003,africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR,,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,734,18,2.4,17493757,18,716,0.024,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2008,"(Adams et al., 2008)",2005-2006,Africa,Tanzania,6.3690° S,34.8888° E,1,1,TZA,Diptera,,Glossina pallidipes,"Glossina pallidipes, G. brevipalpis, G. swynnertoni, G. brevipalpis. ",flies,flies,mol,PCR,,1,1,Trypanosoma_spp.,Trypanosoma_spp.,Trypanosoma_spp.,4246,291,6.9,17826361,291,3955,0.069,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2008,"(Rondon et al., 2008)",2005-2007,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero, ELISA ,,1,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp._,1381,332,24,18565676,332,1049,0.24,,,cross_sectional ,,one test,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2008,"(Specht, 2008)",2002-2005,Africa,Mozambique,25°58’S,32°32’E,1,1,MOZ,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,sero,"Agreement(PCV, smears)",,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei,16895,677,4,18575067,677,16218,0.04,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2008,"(Specht, 2008)",2002-2005,Africa,Mozambique,25°58’S,32°32’E,1,1,MOZ,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,sero,"Agreement(PCV, smears)",,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,16895,1548,9.1,18575067,1548,15347,0.091,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2008,"(Specht, 2008)",2002-2005,Africa,Mozambique,25°58’S,32°32’E,1,1,MOZ,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,sero,"Agreement(PCV, smears)",,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,16895,1188,7,18575067,1188,15707,0.07,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2008,"(Villagran et al., 2008)",2003-2005,North America,Mexico,19°20’N,99°10’W,1,2,MEX,Hemiptera,,Triatoma Mexicana,"Tri. Mexicana, Tri. Gerstaeckeri, Tri. Pallidipennis, Tri. Dimidiata",truebugs,truebugs,micro,"microscopic	examination",,1,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,508,145,28.5,18589465,145,363,0.285,,within and outside dwellings,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2008,"(Mekata et al., 2008)",2006,africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina pallidipes,Glossina pallidipes,flies,flies,mol,PCR,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_savannah,550,5,1,18840966,5,545,0.01,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2008,"(Mekata et al., 2008)",2006,Africa,Zambia,15°28’S,28°16’E,1,1,ZMB,Diptera,,Glossina pallidipes,Glossina pallidipes,flies,flies,mol,PCR,,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,550,9,1.6,18840966,9,541,0.016,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2009,"(Marti et al., 2009)",2002-2005,South America,Argentina,36°30’S,60°00’W,3,3,ARG,Hemiptera,,,True bug,truebugs (mono),truebugs,mol,PCR,,1,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,Blastocrithidia_spp.,1646,7,0.43,19660466,7,1639,0.0043,,domiciles_peridomiciles_sylvatic,cross_sectional ,,Blastocrithidia_triatomae,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2009,"(Marti et al., 2009)",2002-2005,South America,Argentina,36°30’S,60°00’W,3,3,ARG,Hemiptera,,,,truebugs,truebugs,mol,PCR,,1,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,1646,21,1.3,19660466,21,1625,0.013,,domiciles_peridomiciles_sylvatic,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2009,"(Mekata et al., 2009)",2008,South America,"Bolivia, Peru",16°20’S,68°10’W,1,1,BOL,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR,,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,838,70,8.3,19664722,70,768,0.083,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2009,"(Mekata et al., 2009)",2008,South America,"Bolivia, Peru",16°20’S,68°10’W,1,1,PER,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR,,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,838,9,1.1,19664722,9,829,0.011,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2007,"(Mihret & Mamo, 2007)",2005-2006,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement ( buffy coat , microscope , and PCV)",,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,3360,11,0.3,19734612,11,3349,0.003,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2007,"(Mihret & Mamo, 2007)",2005-2006,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,micro,"agreement ( buffy coat , microscope , and PCV)",,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,3360,249,7.4,19734612,249,3111,0.074,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2009,"(Oshaghi et al., 2009)",2002,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Diptera,,Phlebotomus perfeliewi transcaucasicus ,P. perfeliewi transcaucasicus ,flies,flies,mol,PCR,,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,954,9,1,19815868,9,945,0.01,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2009,"(Oshaghi et al., 2009)",2002,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Diptera,,Phlebotomus kandelakii,P. kandelakii,flies,flies,mol,PCR,,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,45,1,2.2,19815868,1,44,0.022,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2009,"(Oshaghi et al., 2009)",2002,Asia,Iran,35°44’N,51°30’E,2,2,IRN,Diptera,,Phlebotomus brevis,"P.brevis, P. halepensis, P. longiductus",flies,flies,mol,PCR,,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,131,1,0.8,19815868,1,130,0.008,,,cross_sectional ,,Seasonality of sand flies (Diptera: Psychodidae) and Leishmania DNA detection in vector species in an area with endemic visceral leishmaniasis,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2009,"(Oshaghi et al., 2009)",2002,Asia,Iran,35°44’N,51°30’E,1,1,IRN,Diptera,," Smilisca dentata,",S. dentata,flies,flies,mol,PCR,,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,313,2,0.64,19815868,2,311,0.0064,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2010,"(Votypka et al., 2010)",2007,Asia,China,39°55’N,116°20’E,1,2,CHN,Hemiptera,,Leptocorisa lepida,"Leptocorisa lepida, Diplonychus rusticus, Cletus bipunctatus, Ochrochira sp., Geocoris varius, Aquarius paludum paludum, Iphita limbata, Bolaca unicolor, Eysarcoris guttigerus, Eysarcoris montivagus, Sarju taungyiana , Dysdercus poecilius, Melamphacis faber, Rhynocoris sp., Dieuches pamelae, Gyndes sp., Metochus sp., ",truebugs,truebugs,mol, agreement (microscopic examination and PCR ),,1,,Trypanosomatidae_spp.,Trypanosomatidae_spp.,Trypanosomatidae_spp.,407,6,1.5,19835965,67,340,0.16,,,cross_sectional ,,,7,Trypanosomatidae_spp.,Trypanosomatidae_spp.,insects,1,meta
2010,"(Votypka et al., 2010)",2007,Asia,China,39°55’N,116°20’E,1,2,CHN,Hemiptera,,Leptocorisa lepida,"Leptocorisa lepida, Diplonychus rusticus, Cletus bipunctatus, Ochrochira sp., Geocoris varius, Aquarius paludum paludum, Iphita limbata, Bolaca unicolor, Eysarcoris guttigerus, Eysarcoris montivagus, Sarju taungyiana , Dysdercus poecilius, Melamphacis faber, Rhynocoris sp., Dieuches pamelae, Gyndes sp., Metochus sp., ",truebugs,truebugs,mol, agreement (microscopic examination and PCR ),,1,monoxenous_spp.,monoxenous_spp.,monoxenous_spp.,monoxenous_spp.,407,60,14.7,19835965,60,347,0.147,,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2010,"(Votypka et al., 2010)",2007,Asia,China,39°55’N,116°20’E,1,2,CHN,Hemiptera,,Leptocorisa lepida,"Leptocorisa lepida, Diplonychus rusticus, Cletus bipunctatus, Ochrochira sp., Geocoris varius, Aquarius paludum paludum, Iphita limbata, Bolaca unicolor, Eysarcoris guttigerus, Eysarcoris montivagus, Sarju taungyiana , Dysdercus poecilius, Melamphacis faber, Rhynocoris sp., Dieuches pamelae, Gyndes sp., Metochus sp., ",truebugs,truebugs,mol, agreement (microscopic examination and PCR ),,1,,Phytomonas_spp.,Phytomonas_spp.,Phytomonas_spp.,407,1,0.25,19835965,1,406,0.0025,,,cross_sectional ,,,4,Phytomonas_spp.,dixenous_spp.,insects,1,meta
2009,"(Savage et al., 2009)",1993-2004,Africa,Madagascar,18°55’S,47°31’E,1,1,MDG,Passeriformes,,"Bernieria madagascariensis, Atelornis crossleyi, Atelornis pittoides, Motacilla flaviventris, Ploceus sakalava, Cyanolanius madagascarinus, Tylas eduardi, Schetba rufa.","Bernieria madagascariensis, Atelornis crossleyi, Atelornis pittoides, Motacilla flaviventris, Ploceus sakalava, Cyanolanius madagascarinus, Tylas eduardi, Schetba rufa.",birds,birds,micro,"microscopic	examination",,1,1,Trypanosoma_spp.,Trypanosoma_spp.,Trypanosoma__spp.,947,9,0.9,19901367,9,938,0.009,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Hagos et al., 2010)",2005-2007,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Perissodactyla,,Equus caballus,Equus caballus,equids,equids,sero,avar (CATT and LATX and ELISA),,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,646,157,28,19924557,157,489,0.28,,,cross_sectional ,,avar (CATT and LATX and ELISA),1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Maloney et al., 2010)",2005-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Carnivora,,Procyon lotor,Procyon lotor,raccoons,raccoons,sero,IFAT,,1,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,706,206,29.2,20001097,206,500,0.292,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Galvez et al., 2010)",2006-2007,Europe,Spain,40°25’N,03°45’W,1,1,ESP,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero, IFAT,,1,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp.,1076,87,8.09,20031330,87,989,0.0809,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Kouam et al., 2010)",2007-2008,Europe,Greece,37°58’N,23°46’E,1,1,GRC,Perissodactyla,,Equus caballus,Equus caballus,equids,equids,sero, ELISA ,,1,9,Leishmania_infantum,Leishmania_infantum,Leishmania_infantum,753,2,0.3,20197215,2,751,0.003,,,cross_sectional ,,,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2010,"(de Paula et al., 2010)",2002-2004,South America,Brazil,15°47’S,47°55’W,2,2,BRA,Hemiptera,,Triatoma sordida ,"Triatoma sordida , Panstrongylus diasi, Panstrongylus megistus, Panstrongylus geniculatus, Rhodnius neglectus.",truebugs,truebugs,micro,microscopic examination,,1,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,771,21,2.7,20305960,21,750,0.027,,,cross_sectional ,,avar two pcr protocol,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2010,"(Njiokou et al., 2010)",,Africa,Cameroon,,,,,CMR,,,,,,Sheep,mol, PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_s.l ,267,82,30.71161049,20387740,82,185,0.307116105,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Njiokou et al., 2010)",,Africa,Cameroon,,,,,CMR,,,,,,Sheep,mol, PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_gambiense_group_1,267,18,6.741573034,20387740,18,249,0.06741573,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Njiokou et al., 2010)",,Africa,Cameroon,,,,,CMR,,,,,,goats,mol, PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_s.l ,264,52,19.6969697,20387740,52,212,0.196969697,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Njiokou et al., 2010)",,Africa,Cameroon,,,,,CMR,,,,,,goats,mol, PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_gambiense_group_1,264,8,3.03030303,20387740,8,256,0.03030303,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Njiokou et al., 2010)",,Africa,Cameroon,,,,,CMR,,,,,,pigs,mol, PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_s.l ,307,27,8.794788274,20387740,27,280,0.087947883,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Njiokou et al., 2010)",,Africa,Cameroon,,,,,CMR,,,,,,pigs,mol, PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_gambiense_group_1,307,1,0.325732899,20387740,1,306,0.003257329,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Njiokou et al., 2010)",,Africa,Cameroon,,,,,CMR,Carnivora,,,,,dogs,mol, PCR ,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_s.l ,37,13,35.13513514,20387740,13,24,35.13513514,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Rowl  et al., 2010)",2008,north America,United States,39°91’N,77°02’W,1,1,USA,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero, IFA ,,1,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,860,55,6.4,20557201,55,805,0.064,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Shahzad et al., 2010)",2009,Asia,Pakistan,33°40’N,73°10’E,1,1,PAK,Artiodactyla,,Bubalus bubalis,Bubalus bubalis,buffaloes,buffaloes,mol,PCR,,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,1250,97,7.7,20680446,97,1153,0.077,,,cross_sectional ,,Surra,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2004,"(Karlsbakk, 2004)",1996-2004,Europe,Norway,59°55’N,10°45’E,1,2,NOR,Acipenseriformes,,Merluccius merluccius,"Merluccius merluccius, Gadus morhua , Melanogrammus aeglefinus, Pollachius pollachius, Pollachius virens, Trisopterus esmarkii, Trisopterus minutus, Brosme brosme, Molva molva, Enchelyopus cimbrius , Phycis blennoides, Lophius piscatorius, Chelidonichthys gurnardus, Lepidorhombus whiffiagonis, Pleuronectes platessa , Limanda limand, Microstomus kitt , Glyptocephalus cynoglossus, Hippoglossoides platessoides. ",fish,fish,micro,"microscopic	examination",,1,,fish_trypanosomes,fish_trypanosomes,fish_trypanosomes,1146,262,22.8,20843528,262,884,0.228,,sylvatic ,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Paz et al., 2010)",2009,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero," ELISA, IFAT",,1,9,Leishmania_spp.,Leishmania_spp.,Leishmania_spp.,5556,432,7.8,20869131,432,5124,0.078,,,cross_sectional ,,agreement: ELISA and IFAT,2,Leishmania_spp.,dixenous_spp.,none_insects,2,meta
2011,"(Whitehorn et al., 2011)",2009,Europe,Scotland,,,1,1,GBR,Hymenopterans,muscorum,Bombus_muscorum,B. muscorum,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,246,221,89.8,20926436,221,25,0.898,W,,cross_sectional ,,bees,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2010,"(Seck et al., 2010)",2007,Africa,Senegal,14°34’N,17°29’W,1,1,SEN,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,sero,DG_HCT,,1,1,Trypanosoma_brucei,Trypanosoma_brucei,Trypanosoma_brucei_brucei,1141,3,0.3,21073148,3,1138,0.003,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Seck et al., 2010)",2007,Africa,Senegal,14°34’N,17°29’W,1,1,SEN,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,sero,DG_HCT,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense,1141,50,4.4,21073148,50,1091,0.044,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Seck et al., 2010)",2007,Africa,Senegal,14°34’N,17°29’W,1,1,SEN,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,sero,DG_HCT,,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,1141,327,28.7,21073148,327,814,0.287,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2011,"(Wei et al., 2011)",2008,Asia,China,39°55’N,116°20’E,1,1,CHN,Diptera,,Phlebotomus chinensi ,Phlebotomus chinensi ,flies,flies,mol," PCR, ITS2 , RT_PCR",,1,9,Leishmania_donovani,Leishmania_donovani,Leishmania_donovani,708,16,2.3,21254870,16,692,0.023,,,cross_sectional ,VL,,2,Leishmania_spp.,dixenous_spp.,insects,1,meta
2011,"(Melo et al., 2011)",NA,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol,PCR,,1,1,Trypanosoma_vivax,Trypanosoma_vivax,Trypanosoma_vivax,559,3,1.06,21254930,3,556,0.0106,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Hagos et al., 2010)",2007-2008,Africa,Ethiopia,09°02’N,38°42’E,1,1,ETH,Perissodactyla,,Equus caballus,Equus caballus,equids,equids,sero,avar(CATT/T.evansi and LATEX/T. evensi),,1,,Trypanosoma_evansi,Trypanosoma_evansi,Trypanosoma_evansi,880,157,17.8,21309462,157,723,0.178,,,cross_sectional ,,avar (CATT and LATX),1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2011,"(Tome et al., 2011)",2009,South America,Brazil,15°47’S,47°55’W,1,1,BRA,Carnivora,,Canis lupus familiaris,Canis lupus familiaris,dogs,dogs,sero, indirect immunofluorescence reaction (IIR),,1,4,Trypanosoma_cruzi,Trypanosoma_cruzi,Trypanosoma_cruzi,689,3,0.4,21439235,3,686,0.004,,,cross_sectional ,,short research note,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Gillingwater et al., 2010)",NA,Africa,South Africa,25°44’S,28°12’E,1,1,ZAF,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol, nested PCR and  haematocrit centrifugation technique,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_savannah,473,153,32.3,21526736,153,320,0.323,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Gillingwater et al., 2010)",NA,Africa,South Africa,25°44’S,28°12’E,1,1,ZAF,Artiodactyla,,Bos taurus ,Bos taurus.,cattle,cattle,mol, nested PCR and  haematocrit centrifugation technique,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_kilifi,473,13,2.7,21526736,13,460,0.027,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,none_insects,2,meta
2010,"(Gillingwater et al., 2010)",NA,Africa,South Africa,25°44’S,28°12’E,2,2,ZAF,Diptera,,,,flies,flies,mol, nested PCR and  haematocrit centrifugation technique,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_savannah,506,22,4.3,21526736,22,484,0.043,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2010,"(Gillingwater et al., 2010)",NA,Africa,South Africa,25°44’S,28°12’E,2,2,ZAF,Diptera,,,,flies,flies,mol, nested PCR and  haematocrit centrifugation technique,,1,1,Trypanosoma_congolense,Trypanosoma_congolense,Trypanosoma_congolense_Kilifi,506,53,10.5,21526736,53,453,0.105,,,cross_sectional ,,,1,Trypanosoma_spp.,dixenous_spp.,insects,1,meta
2011,"(Kissinger et al., 2011)",2006-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,flavifrons,Bombus_flavifrons,B. flavifrons,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,11,1,9.09,21545804,1,10,0.0909,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2011,"(Kissinger et al., 2011)",2006-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,mixtus,Bombus_mixtus,B.mixtus,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,11,3,27.27,21545804,3,8,0.2727,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2011,"(Kissinger et al., 2011)",2006-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,melanopygus,Bombus_melanopygus,B. melanopygus,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,14,4,28.57,21545804,4,10,0.2857,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2011,"(Kissinger et al., 2011)",2006-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,vandykei,Bombus_vandykei,B. vandykei,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,30,1,3.33,21545804,1,29,0.0333,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2011,"(Kissinger et al., 2011)",2006-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,vosnesenskii,Bombus_vosnesenskii,B. vosnesenskii,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,57,14,24.56,21545804,14,43,0.2456,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2011,"(Kissinger et al., 2011)",2006-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,bimaculatus,Bombus_bimaculatus,B. bimaculatus,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,235,13,5.53,21545804,13,222,0.0553,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2011,"(Kissinger et al., 2011)",2006-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,impatiens,Bombus_impatiens,B. impatiens,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,427,60,14.05,21545804,60,367,0.1405,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
2011,"(Kissinger et al., 2011)",2006-2007,North America,United States,39°91’N,77°02’W,1,1,USA,Hymenopterans,griseocollis,Bombus_griseocollis,B. griseocollis,bees (mono),bees,micro,"microscopic	examination",Bombus_spp.,1,Crithidia_spp.,Crithidia_bombi,Crithidia_bombi,Crithidia_bombi,429,17,3.96,21545804,17,412,0.0396,W,,cross_sectional ,,,3,monoxenous_spp.,monoxenous_spp.,insects,1,meta
