title,abstract
Colony pace: a life-history trait affecting social insect epidemiology,"Among colonies of social insects, the worker turnover rate (colony 'pace') typically shows considerable variation. This has epidemiological consequences for parasites, because in 'fast-paced' colonies, with short-lived workers, the time of parasite residence in a given host will be reduced, and further transmission may thus get less likely. Here, we test this idea and ask whether pace is a life-history strategy against infectious parasites. We infected bumblebees (Bombus terrestris) with the infectious gut parasite Crithidia bombi, and experimentally manipulated birth and death rates to mimic slow and fast pace. We found that fewer workers and, importantly, fewer last-generation workers that are responsible for rearing sexuals were infected in colonies with faster pace. This translates into increased fitness in fast-paced colonies, as daughter queens exposed to fewer infected workers in the nest are less likely to become infected themselves, and have a higher chance of founding their own colonies in the next year. High worker turnover rate can thus act as a strategy of defence against a spreading infection in social insect colonies."
Epidemiological study of honeybee pathogens in Europe: The results of Castilla-La Mancha (Spain),"As a part of a Pilot Monitoring Program of honey bee health coordinated by the EURL (European Union Reference Laboratory) and according to the criteria established for Spain, 14 apiaries in Castilla-La Mancha were selected at random and sampled during the autumns of 2012-2014 to identify the most prevalent nosogenic agents, potentially those related to the honey bee colony collapse phenomenon. In all the apiaries studied, Nosema ceranae was the most prevalent pathogen detected over the three years, confirming the worldwide spread of this microsporidian, a pathogen that negatively affects honey bee health at an individual and colony level. Trypanosomatids were also very prevalent in honey bee colonies, although the majority of Trypanosomatids detected were not Crithidia mellificae but rather the genetically distinct Lotmaria passim lineage. We also detected Varroa destructor mites, and the particularly high prevalence in 2014 suggests a possible problem regarding mite control in field conditions that requires attention. In agreement with data from other regions, the BQCV and DWV were the most prevalent viruses in honey bee colonies and thus, the Varroa-DWV interaction may be an important cause of bee colony mortality. While there was little evidence of a relationship between the BQCV virus and N. ceranae under field conditions during 2012, this was not the case in 2013 and 2014. Finally, the AKI-complex or LSV-complex was not detected. The information obtained in this study should help orientate future plans for honey bee disease control."
Incidence of Trypanosoma cruzi infection in triatomines collected at Indio Mountains Research Station,"Chagas disease, caused by the parasite Trypanosoma cruzi, is an emerging infectious disease in the United States. In our study, 24 out of 39 triatomines, from the specie Triatoma rubida, were infected with T. cruzi. Additionally, only the genotype TcI was characterized among the parasite specimens. Improved knowledge of local epidemiology is needed to prevent transmission of Chagas disease. (C) 2015 Elsevier B.V. All rights reserved."
"Ecological, Social and Biological Risk Factors for Continued Trypanosoma cruzi Transmission by Triatoma dimidiata in Guatemala","Background: Chagas disease transmission by Triatoma dimidiata persists in Guatemala and elsewhere in Central America under undefined ecological, biological and social (eco-bio-social) conditions. Methodology: Eco-bio-social risk factors associated with persistent domiciliary infestation were identified by a cross-sectional survey and qualitative participatory methods. Quantitative and qualitative data were generated regarding Trypanosoma cruzi reservoirs and triatomine hosts. Blood meal analysis and infection of insects, dogs and rodents were determined. Based on these data, multimodel inference was used to identify risk factors for domestic infestation with the greatest relative importance (>0.75). Principal Findings: Blood meal analysis showed that 64% of 36 bugs fed on chickens, 50% on humans, 17% on dogs; 24% of 34 bugs fed on Rattus rattus and 21% on Mus musculus. Seroprevalence among 80 dogs was 37%. Eight (17%) of 46 M. musculus and three (43%) of seven R. rattus from households with infected triatomines were infected with T. cruzi Distinct Typing Unit I. Results from interviews and participatory meetings indicated that vector control personnel and some householders perceived chickens roosting and laying eggs in the house as bug infestation risk factors. House construction practices were seen as a risk factor for bug and rodent infestation, with rodents being perceived as a pest by study participants. Multimodel inference showed that house infestation risk factors of high relative importance are dog density, mouse presence, interior wall plaster condition, dirt floor, tile roofing and coffee tree presence. Conclusions/Significance: Persistent house infestation is closely related to eco-bio-social factors that maintain productive T. dimidiata habitats associated with dogs, chickens and rodents. Triatomine, dog and rodent infections indicate active T. cruzi transmission. Integrated vector control methods should include actions that consider the role of peridomestic animals in transmission and community members level of knowledge, attitudes and practices associated with the disease and transmission process."
"First report of Trypanosoma vivax outbreak in dairy cattle in Sao Paulo state, Brazil","This is the first description of a trypanosoma vivax outbreak in the state of Sao Paulo (municipality of Lins). Fever, jaundice, decreased milk production, weight loss, profuse diarrhea, abortion, anemia, leukocytosis and hyperfibrinogenemia were observed in the affected animals. Thirty-one cows and calves died out of a total of 1080 in the herd. Three cows showed neurological symptoms like dysmetria, ataxia, muscle weakness, ptyalism, lymph node enlargement and submandibular edema. Flagellated hemoparasites were observed in blood smears. The species was diagnosed as T vivax by means of PCR. This T vivax strain showed resistance to diaminazene aceturate and the infection spread quickly at the herd. From the ELISA test, 599 serum samples (98.36%) were positive for anti-T. vivax IgG antibodies. This outbreak occurred during a very dry period, which indicates that other factors were involved in the outbreak, such as absence of tabanids and large populations of Haematobia irritans and Stomoxys calcitrans. The increases in these populations may have been due to the use of biosolid waste from sugar and ethanol plants in the sugarcane plantations surrounding the dairy farm."
"First report of the prevalence and genotype of Trypanosoma spp. in bats in Yunnan Province, Southwestern China",
"Zoonosis in dogs and cats attended by the Birth Control Project: Toxoplasma gondii, Leishmania spp. and Leptospira spp., serodiagnosis and epidemiology","Increasing human-animal proximity has also increased risks of zoonotic disease transmission. This study measured the prevalence of anti-Toxoplasma gondii, anti-Leishmania spp. and anti-Leptospira spp. IgG antibodies in dogs and cats attended by the Birth Control Project (BCP) from 2004 to 2012 to determine which environmental variables were significantly associated with infectious agents in the study population. Blood samples from 271 dogs and 415 cats were collected by jugular or cephalic venipuncture for serological analysis. Indirect immunofluorescence assays were used to detect anti-T. gondii and anti-Leishmania spp. IgG antibodies and microscopic serum-agglutination tests were used to detect anti-Leptospira spp. antibodies. Data tabulation and statistical analyses were performed using EpiInfo (3.4.3). Among canine sera samples, 20.6% (56/271), 1.3% (3/236), and 21.6% (51/236) were positive for T. gondii, Leishmania spp., and Leptospira spp., respectively. Higher T. gondii prevalence was found in dogs of unknown breeding history (p=0.0009), those fed raw or undercooked meat (p=0.0101), and those that did not receive the polyvalent vaccine (p=0.0147). There was no statistically significant association between leishmaniosis and leptospirosis and variables evaluated in the epidemiological questionnaire. Among feline sera samples, 20.9% (87/415) were positive for T. gondii. The highest prevalence rates were observed in felines that hunted rodents (p=0.0388) and that consumed untreated water (p=0.0294). These results confirmed that ingestion of raw or undercooked meat, drinking untreated water, and predation of rodents were important risk factors for T. gondii infection. A low Leishmania spp. serodiagnostic prevalence was observed. The most frequent Leptospira spp. serovars were Copenhageni, Canicola, and Butembo."
Leishmania in synanthropic rodents (Rattus rattus): new evidence for the urbanization of Leishmania (Leishmania) amazonensis,"This study aimed to detect parasites from Leishmania genus, to determine the prevalence of anti-Leishmaniaspp.antibodies,toidentifycirculating species of the parasite, and to determine epidemiological variables associated with infection in rats caught in urban area of Londrina, Parana, Brazil. Animal capture was carried out from May to December 2006, serological and molecular methods were performed. DNA was extracted from total blood, and nested-PCR, targeting SSu rRNA from Leishmania genus, was performed in triplicate. The positive samples were sequenced twice by Sanger method to species determination. In total, 181 rodents were captured, all were identified as Rattus rattus and none showed clinical alterations. Forty-one of the 176 (23.3%) animals were positive for Leishmania by ELISA and 6/181 (3.3%) were positive by IFAT. Nine of 127 tested animals (7.1%) were positive by PCR; seven were identified as L. (L.) amazonensis, one as L. (L.) infantum. Four rats were positive using more than one test. This was the first description of synanthropic rodents naturally infected by L. (L.) amazonensis (in the world) and by L. (L.) infantum (in South Brazil). Regarding L. (L.) amazonensis, this finding provides new evidence of the urbanization of this etiological agent."
"Leishmania (Leishmania) chagasi infection in children from an endemic area of visceral leishmaniasis in the São Luís Island-MA, Brazil",no access
Cutaneous Leishmaniasis in dogs: is high seroprevalence indicative of a reservoir role?,"American cutaneous leishmaniasis (ACL) is a complex disease with a rich diversity of animal host species. This diversity imposes a challenge, since understanding ACL transmission requires the adequate identification of reservoir hosts, those species able to be a source of additional infections. In this study we present results from an ACL cross-sectional serological survey of 51 dogs (Canis familiaris), where we used diagnostic tests that measure dog's exposure to Leishmania spp. parasites. We did our research in Panama, at a village that has undergone significant ecosystem level transformations. We found an ACL seroprevalence of 47% among dogs, and their exposure was positively associated with dog age and abundance of sand fly vectors in the houses of dog owners. Using mathematical models, which were fitted to data on the proportion of positive tests as function of dog age, we estimated a basic reproductive number (R-0 +/- S.E.) of 1.22 +/- 0.09 that indicates the disease is endemically established in the dogs. Nevertheless, this information by itself is insufficient to incriminate dogs as ACL reservoirs, given the inability to find parasites (or their DNA) in seropositive dogs and previously reported failures to experimentally infect vectors feeding on dogs with ACL parasites."
"Relationship between asymptomatic infections with Anaplasma marginale, Babesia spp. and Trypanosoma vivax in bulls and testosterone levels","Some bovine hemotropic infections are associated with decreased reproductive potential in bulls, but the underlying mechanisms involved are poorly understood. The main objective of this transversal study was to determine Anaplasma marginale, Babesia spp., and Trypanosoma vivax infections in asymptomatic bulls (n=85) of various breeds and ages, and to compare serum average testosterone levels in infected and non-infected animals. The highest prevalence by Polymerase Chain Reaction (PCR) was 46% for A. marginale, 34% for Babesia spp. and 60% for T. vivax. The greatest percentages of bulls infected with A. marginale and Babesia spp. were found in the Holstein breed (75.0 and 66.7%, respectively), and the lowest in the Carora breed (35.7 and 14.2%, respectively) with values of P<0.001. The percentage of bulls infected with T. vivax was higher in the Holstein, Carora and Mixed Breeds (75.0, 71.4 and 76.5%) as compared to the Brahman breed (38.1%). The highest percentages of infection with A. marginale and Babesia spp. were found in animals 1019 months old and less than 29 months old, respectively, while the highest percentage of infection with T. vivax was observed in 40-49 months old animals. These results show the importance of the breed and age in the selection of individuals for studies of prevalence, treatment and epidemiological control. Hematocrit values were statistically lower in animals infected with A. marginale as compared to the non-infected group (P<0.02). Bulls infected with T. vivax presented lower levels of serum testosterone, while bulls either infected with A. marginale or Babesia spp. or noninfected, showed no differences in this hormone. The decrease in testosterone levels in bulls appears to correlate with T. vivax chronic infection, suggesting a link between the presence of this pathogen and hormonal levels."
"PARTICIPATION OF TICKS IN THE INFECTIOUS CYCLE OF CANINE VISCERAL LEISHMANIASIS, IN TERESINA, PIAUI, BRAZIL","In this study, we detected Leishmania spp. infection in R. sanguineus collected from dogs that were naturally infected with L. (L.) infantum. We examined 35 dogs of both sexes and unknown ages. The infected dogs were serologically positive by the immunofluorescence antibody test (IFAT), enzyme-linked immunosorbent assay (ELISA), and Quick Test-DPP (Dual Path Platform), as well as parasitological examination of a positive skin biopsy or sternal bone marrow aspiration. Ten negative dogs were included as controls. The ticks that infested these dogs were collected in pools of 10 adult females per animal. The PCR was performed with specific primers for Leishmania spp., which amplified a 720-bp fragment. Of the 35 analyzed samples, a product was observed in eight samples (8/ 35; 22.9%). We conclude that the presence of parasite DNA suggests that ticks participate in the zoonotic cycle of canine visceral leishmaniasis, in the city of Teresina, Piaui."
"Seroprevalence of Leishmania infection and molecular detection of Leishmania tropica and Leishmania infanturn in stray cats of Izmir, Turkey","Leishmaniasis caused by more than 20 species of genus Leishmania is transmitted by the bite of infected phlebotomine sand flies. The studies on Leishmania infection in cats is very few in Turkey and therefore we aimed to screen stray cats living in city of Izmir located in western Turkey using nested PCR targeting kinetoplast DNA and serological techniques (ELISA and IFA). Leishmania DNA positive samples were also studied by ITS1 real time PCR. Whole blood and serum samples were obtained from stray cats (n: 1101) living in different counties of Izmir. In serological assays, a serum sample was considered positive in 1:40 dilution in IFA and for ELISA a serum sample was accepted positive when the absorbance value (AV) exceeded the mean AV + Standard Deviation (SD) of the negative control serum samples. According to the results, the seropositivity rates were 10.8% (119/1101) and 15.2% (167/1101) by in house ELISA and IFA, respectively. Among serology coherent samples, the seropositivity rate was 11.1% (116/1047) as detected by both assays after discordant samples (n: 54) were discarded. Of the 1101 stray cats, six (0.54%) were positive by nested PCR while only one of these six samples was positive by ITS1 real time PCR. During PCR, three controls designated as Leishmania infantum, Leishmania tropica, and Leishmania major were used for species identification. According to nested PCR results, L. tropica was identified in two cats (no.76 and 95). In another cat (no. 269), there were two bands in which one of them was well matched with L infantum and the other band had similar to 850 bp size which does not match with any controls. Remaining three cats (no. 86, 514, and 622) also had the similar to 850 bp atypical band size. ITS1 real time PCR detected L tropica in only one cat (no. 622) which showed an atypical band size in nested PCR. These results indicated that three cats with only one atypical band (no. 86, 514, and 622) and the cat with mixed infection (no. 269) were infected with L tropica. Altogether, L tropica was detected in all six DNA positive cats and L infantum was detected in one cat with mixed infection. In conclusion, although the reservoir role of cats in nature is still unclear the high seroprevalence rate against Leishmania parasites and detecting parasite DNA in stray cats in Izmir indicates that the stray cats are frequently bitten by infected sand flies. Further research activities are required to reveal the frequency of leishmaniasis in cats in different regions of Turkey where Leishmania species are endemic. (C) 2016 Elsevier Inc. All rights reserved."
Prevalence of Toxoplasma gondii and Leishmania spp. infection in cats from Brazil,A total of 386 feline blood samples from Brazil were collected and analyzed by the indirect immunofluorescence antibody test (IFAT) for the presence of Toxoplasma gondii and Leishmania spp. antibodies. Specific antitoxoplasma IgG were found in 63 of 386 (16.3%) cats and immunoglobulin G against Leishmania spp. was detected in two serum samples. The overall prevalence was significantly higher in adult cats than in juvenile cats for T. gondii infection. There were no significant differences between positivity and gender or breed. The frequency of T. gondii antibodies found in domestic cats of Brazil suggests active transmission within an urban environment. This study proved the occurrence of two important protozoan zoonosis in felines from Brazilian endemic area for visceral leishmaniasis. (C) 2013 Published by Elsevier B.V.
A prospective study of the effects of sustained vector surveillance following community-wide insecticide application on Trypanosoma cruzi infection of dogs and cats in rural northwestern Argentina,"Domestic dogs were used as natural sentinels to assess prospectively the long-term impact of selective, community-based spraying with pyrethroid insecticides after community-wide spraying on transmission of Trypanosoma cruzi in rural villages under surveillance between 1992 and 2002. In 2000 and 2002 light infestations by Triatoma infestans were recorded, and 523 dogs and cats were examined serologically or by xenodiagnosis. The prevalence of T cruzi infection in dogs decreased from 65% at baseline to 8.9% and 4.7% at 7.5 and 10 years after sustained vector surveillance, respectively. The average annual force of infection dropped 260-fold from 72.7 per 100 dog-years at baseline to < 0.3% in 2002, as determined prospectively and retrospectively from the age-prevalence curve of native dogs born during surveillance. Multiple logistic regression analysis showed that prevalent cases in dogs in 2000 and 2002 were associated positively and significantly with the peak number of T infestans caught in domestic areas at the dog's compound during its lifetime. The sustained decline in T. cruzi infections in dogs and cats is the result of selective, community-based insecticide spraying that kept the abundance of infected T infestans at marginal levels, fast host population turnover, and low immigration rates from areas with active transmission."
Molecular epidemiology of domestic and sylvatic Trypanosoma cruzi infection in rural northwestern Argentina,"Genetic diversity of Trypanosoma cruzi populations and parasite transmission dynamics have been well documented throughout the Americas, but few studies have been conducted in the Gran Chaco ecoregion, one of the most highly endemic areas for Chagas disease, caused by T cruzi. In this study, we assessed the distribution of T cruzi lineages (identified by PCR strategies) in Triatoma infestans, domestic dogs, cats. humans and sylvatic mammals from two neighbouring rural areas with different histories of transmission and vector control in northern Argentina. Lineage II predominated amongst the 99 isolates characterised and lineage I amongst the six isolates obtained from sylvatic mammals. T cruzi lineage lie predominated in domestic habitats; it was found in 87%, of 54 isolates from Tr. infestans. in 82% of 33 isolates from dogs, and in the four cats found infected. Domestic and sylvatic cycles overlapped in the study area in the late 1980s, when intense domestic transmission occurred, and still overlap marginally. The introduction of T. cruzi from sylvatic into domestic habitats is likely to occur very rarely in the current epidemiological context. The household distribution of T cruzi lineages showed that Tr infestans, dogs and cats from a given house compound shared the same parasite lineage in most cases. Based on molecular evidence, this result lends further Support to the importance of dogs and cats as domestic reservoir hosts of T cruzi. We believe that in Argentina, this is the first time that lineage IIe has been isolated from naturally infected domestic dogs and Tr. infestans. (C) 2008 Australian Society for Parasitology Inc. Published by Elsevier Ltd. All rights reserved."
Heterogeneities in the Ecoepidemiology of Trypanosoma cruzi Infection in Rural Communities of the Argentinean Chaco,"We conducted a cross-sectional survey of Trypanosoma cruzi infection of Triatoma infestans as well as dogs and cats in 327 households from a well-defined rural area in northeastern Argentina to test whether the household distribution of infection differed between local ethnic groups (Tobas and Creoles) and identify risk factors for host infection. Overall prevalence of infection of bugs (27.2%; 95% confidence interval = 25.3-29.3%), dogs (26.0%; 95% confidence interval = 23.3-30.1%), and cats examined (28.7%; 95% confidence interval = 20.2-39.0%) was similar. A multimodel inference approach showed that infection in dogs was associated strongly with the intensity and duration of local exposure to infected bugs and moderately with household ethnic background. Overall, Toba households were at a substantially greater risk of infection than Creole households. The strong heterogeneities in the distribution of bug, dog, and cat infections at household, village, and ethnic group levels may be used for targeted vector and disease control."
First report of Anaplasma platys infection in red foxes (Vulpes vulpes) and molecular detection of Ehrlichia canis and Leishmania infantum in foxes from Portugal,"Background: The bacteria Anaplasma platys and Ehrlichia canis and the protozoan Leishmania infantum are vector-borne agents that cause canine vector-borne diseases, some of which are zoonotic. The present survey investigated the prevalence of Anaplasma, Ehrlichia and Leishmania in red foxes (Vulpes vulpes) from Portugal by molecular analysis, in order to evaluate the epidemiological role of these canids as reservoirs of infection. Methods: Blood and/or bone marrow samples were collected from 78 red foxes obtained in eight districts of northern, central and southern Portugal. Real-time polymerase chain reactions (PCR) amplified a 123 bp fragment of the 16S rRNA gene of Anaplasma spp. and Ehrlichia spp. and a 265 bp fragment of the L. infantum internal transcribed spacer one (ITS1) region of the rRNA operon evaluated by PCR-high resolution melt analysis (PCR-HRM), with sequencing of the DNA products. A phylogenetic analysis was carried out to compare these to other sequences from Anaplasma spp. and Ehrlichia spp. deposited in GenBank (R). Results: A. platys was detected in 10 (14.5%) and E. canis in two (2.9%) out of 69 foxes; and L. infantum was detected in one (1.3%) of the 78 foxes. The prevalence of A. platys was significantly different from the prevalence of E. canis (p=0.016) and from that of L. infantum (p=0.002). No co-infections were found in any one of the 78 foxes. No statistically significant differences were found between the type of sample (blood and bone marrow), geographic regions (north/centre and south), age (< 2 years and >= 2 years) and gender for any one of the agents. Conclusions: This is the first known report of A. platys in red foxes worldwide, as well as the first molecular evidence of E. canis in foxes from Portugal. The moderate prevalence of A. platys suggests that red foxes may play a role in the epidemiology of infection with this bacterium and serve as a reservoir for domestic dogs."
Low seroprevalence of Leishmania infantum infection in cats from northern Portugal based on DAT and ELISA,"Cats have been considered playing a role in the epidemiology of leishmaniosis caused by Leishmania infantum, an endemic zoonosis in countries of the Mediterranean basin. The present study assessed the prevalence of antibodies to L infantum in 316 domestic cats from northern Portugal, by means of the direct agglutination test (DAT) and an enzyme-linked immunosorbent assay (ELISA). Seroreactivity to DAT was found in six cats, and nine cats were positive in the ELISA, including the six DAT-positive animals. The overall seroprevalence of Leishmania infection was 2.8%, based on ELISA and DAT. A substantial agreement (99%; K value = 0.80) was found between DAT and ELISA results. The difference between seroprevalence values in females (0.7%) and males (4.7%) was statistically significant (p = 0.045). The age of seropositive cats ranged from 31 to 84 months. Cats with 5-6 years (60-71 months) and 6-7 years (72-83 months) presented the highest level of seropositivity (15.4% and 33.3%, respectively). A significant difference was found comparing the seroprevalences in cats aged less than 24 months (0.0%) and in those with 24 months or more (7.3%) (p=0.022). Seroprevalences in cats living in a rural environment (10.5%) or in urban areas (0.0%) were also found to be significantly different (p<0.001). No significant differences were detected between serological status to Leishmania in pure non-European and European or mixed breeds (p=0.442), cats that lived totally indoors and those that had access to outdoors (p=0.412), cats seropositive and seronegative to Toxoplasma gondii (p=0.276), or apparently healthy animals and those with clinical illness (p=0.271). This study is the largest epidemiological investigation performed on feline Leishmania infection in Portugal. The seroprevalence of Leishmania infection was low in cats living in northern Portugal, a region where canine leishmaniosis is endemic. Nevertheless, Leishmania infection must not be underestimated and leishmaniosis may be included in the differential diagnosis of cutaneous or systemic clinical signs in cats. (C) 2010 Elsevier ay. All rights reserved."
"Sero-epidemiological study of canine Leishmania spp. infection in the municipality of Alijo (Alto Douro, Portugal)","Visceral leishmaniosis caused by Leishmania infantum is a zoonotic disease in the Mediterranean basin. We report an epidemiological survey carried out in dogs from the municipality of Aligo in the endemic region of Alto Douro (north Portugal). Performance of the direct agglutination test (DAT) was assessed in 205 matching samples of blood collected on filter paper and serum. A high degree of agreement (97.6%; kappa = 0.83) was found between the results obtained from both types of samples. DAT was then used to test more blood on filter paper (B-FP) samples from other dogs of the same municipality. The detected sero-prevalence was 18.7% (288/1540), with values ranging from 0.0 to 81.1% in each of the 19 parishes of Alijo. Three distinct geographical zones of mean sero-prevalence could be defined: northwestern (2.5%), intermediate (11.4%) and southern (49.9%). No statistically significant difference was observed between male (19.1%) and female (17.8%) sero-prevalences (P = 0.560). Dogs of 9-11 years of age showed the highest sero-prevalence (28.4%), but all the other age-intervals (0-2, 3-5, 6-8 and 12-17 years) presented values (15.0-22.3%) not significantly different from the mean of the whole study population. Risk factors for canine Leishmania infection were age and geographical zone. Only 5.9% of the sero-positive animals had clinical signs of canine leishmaniosis and the overall prevalence of disease was 1.1%. This study validates the use of B-FP samples and confirms DAT as a simple and sensitive serological test to evaluate the level of canine Leishmania infection in areas of high sero-prevalence. (C) 2004 Elsevier B.V. All rights reserved."
"Serological survey of Leishmania infection in dogs from the municipality of Peso da Re'gua (Alto Douro, Portugal) using the direct agglutination test (DAT) and fast agglutination screening test (FAST)","Leishmaniasis caused by Leishmania infantum is a prevalent disease in dogs and humans. A serological survey of Leishmania infection in dogs was carried out in the endemic region of Alto Douro (north Portugal). Two hundred and ninety-four dogs from the municipality of Peso da Regua were examined for clinical signs of canine leishmaniasis (CanL), and sera samples were evaluated by the direct agglutination test (DAT) and the fast agglutination screening test (FAST). The sero-prevalence of infection was 20.4%, after screening the study population by FAST and subsequent confirmation by DAT. The overall prevalence of disease was 3.1%. Only 15.0% of the sero-positive dogs had clinical signs of CanL. A high degree of agreement (88.4%; kappa value = 0.71) was found between DAT and FAST. This study further demonstrates that FAST can be used as a simple, rapid and sensitive screening test for canine Leishmania infection in areas of high endemicity and, together with DAT, is a valuable tool in the assessment of CanL. (C) 2004 Elsevier B.V. All rights reserved."
Expanding the knowledge about Leishmania species in wild mammals and dogs in the Brazilian savannah,"Background: Wild, synanthropic and domestic mammals act as hosts and/or reservoirs of several Leishmania spp. Studies on possible reservoirs of Leishmania in different areas are fundamental to understand host-parasite interactions and develop strategies for the surveillance and control of leishmaniasis. In the present study, we evaluated the Leishmania spp. occurrence in mammals in two conservation units and their surroundings in Brasilia, Federal District (FD), Brazil. Methods: Small mammals were captured in Brasilia National Park (BNP) and Contagem Biological Reserve (CBR) and dogs were sampled in residential areas in their vicinity. Skin and blood samples were evaluated by PCR using different molecular markers (D7 24Sa rRNA and rDNA ITS1). Leishmania species were identified by sequencing of PCR products. Dog blood samples were subjected to the rapid immunochromatographic test (DPP) for detection of anti-Leishmania infantum antibodies. Results: 179 wild mammals were studied and 20.1% had Leishmania DNA successfully detected in at least one sample. Six mammal species were considered infected: Clyomys laticeps, Necromys lasiurus, Nectomys rattus, Rhipidomys macrurus, Didelphis albiventris and Gracilinanus agilis. No significant difference, comparing the proportion of individuals with Leishmania spp., was observed between the sampled areas and wild mammal species. Most of the positive samples were collected from the rodent N. lasiurus, infected by L. amazonensis or L. braziliensis. Moreover, infections by Trypanosoma spp. were detected in N. lasiurus and G. agilis. All 19 dog samples were positive by DPP; however, only three (15.8%) were confirmed by PCR assays. DNA sequences of ITS1 dog amplicons showed 100% identity with L. infantum sequence. Conclusions: The results suggest the participation of six species of wild mammals in the enzootic transmission of Leishmania spp. in FD. This is the first report of L. amazonensis in N. lasiurus."
TRYPANOSOMA SPP IN RATS (Rattus rattus AND Rattus norvegicus) FROM TWO ENVIRONMENTS: FOOD MARKETS AND PIG FARMS,"The aim of the study was to determine the presence of Trypanosoma spp in Rattus spp from food markets and pig farms in Lima, Peru, to identify the species of Trypanosoma spp by morphological and biometric characterization, and to correlate the presence of the parasite with the variables sex, age (juvenile and adult), origin and species. The study was conducted in eight food markets of six districts (n = 62 rats) and three pig farms (n = 99) from three districts of Lima. Blood samples were collected and analysed using the thin blood smear technique and stained with ''Hemacolor'' to determine the presence of the parasite. The identification of the Trypanosome species was based on international keys based on the morphological and biometric characteristics of the trypomastigotes present in blood smears stained with Giemsa. T lewisi was the only species found in a frequency of 22.5 and 21.2% in rats from the food markets and pig farms, respectively. The frequency of T lewisi in R. norvegicus and R. rattus was 10.2 and 26.7%, in male and female rats was 21.1 and 22.0%, and in adults and juveniles was 17.0 and 26.5%, respectively. There was no significant association with the variables of origin, sex, and age. R. rattus showed a significant risk factor (OR: 3.77) against R. norvegicus for the presentation of T. lewisi."
"Parasites and Pathogens of Eastern Bluebirds (Sialia sialis): A Field Survey of a Population Nesting Within a Grass-Dominated Agricultural Habitat in Georgia, U.S.A., with a Review of Previous Records","The parasite community associated with a population of eastern bluebirds (Sialia sialis) nesting in a grassdominated habitat in northern Georgia, U.S.A., was surveyed by live examination of adults and nestlings; examination of feces, nesting materials, and blood smears; necropsy; and polymerase chain reaction techniques. During the course of 5 breeding seasons, we found 10 macroparasite species, which included I tick species (lxodes brunneus), 1 louse species (Philopterus sialii), 1 species of hematophagous mite (Dermanvssus prognephilus), and 5 other species not previously reported from eastern bluebirds, including an acanthocephalan (Plagiorhynchus cylindraceus), a species of strongyloid nematode, a cestode (Hymenolepis sp.), a nestling bird fly (Carnus floridensis), and a nest mite (Campephilocoptes sp.); a description of feather mites associated with the population was not included in this report. Overall prevalence of macroparasites was 16.1%. We also detected 5 species of protistan parasites, including Haemoproteus fallisi, Plasmodium relic/urn, Trypanosoma avium, and 2 others, an Atoxoplasma sp. and a Sarcocystis sp., which represent new host parasite records. One bird tested positive for West Nile virus and for St. Louis encephalitis virus. More than 50% of the birds examined were infected with 1 or more microparasites. Prevalence of microparasites varied by examination method employed. An updated list of known parasites of eastern bluebirds gathered from published literature and database searches is provided."
"DIVERSITY AND PHYLOGENETIC RELATIONSHIPS OF HEMOSPORIDIAN PARASITES IN BIRDS OF SOCORRO ISLAND, MEXICO, AND THEIR ROLE IN THE RE-INTRODUCTION OF THE SOCORRO DOVE (ZENAIDA GRAYSONI)","The Socorro dove Zenaida graysoni, endemic to Socorro Island, was last reported in the wild in 1972. Fortunately, the species has been propagated in zoos in Europe and the United States, and plans are under way to re-introduce it to its native habitat. This will be the first known attempt to return a bird species extinct in the wild to its ancestral island. In order to assess the disease threats the Socorro dove may face, the avifauna of Socorro Island, with a specific focus on Socorro ground doves Columbina passerina socorroensis and mourning doves Zenaida macroura, as well as Socorro doves in captivity, were screened for blood parasites of the genera Plasmodium, Haemoproteus, Leucocytozoon, and Trypanosoma spp. We found Haemoproteus spp. in 17 (74%) of 23 Socorro ground doves, 23 (92%) of 25 mourning doves, and 3 (14%) of 21 northern mockingbirds; none of the other bird species showed infections. Here, we report the phylogenetic analysis of 19 distinct lineages of Haemoproteus spp. detected in birds of Socorro Island and compare their evolutionary relationships to parasites detected in the avifauna of the Galapagos Islands, continental Latin America, and Europe. Microscopic examination revealed 1 mourning dove infected with Plasmodium (Haemamoeba), thus underscoring the importance of using both PCR and microscopy when analyzing avian blood samples for hemosporidian parasites. The study confirms that the Socorro dove will most likely be exposed to Haemoproteus spp. that currently infect mourning doves and Socorro ground doves of Socorro Island. A monitoring program for both birds and vectors should be implemented to establish the prevalence of Plasmodium sp. and as a necessary conservation measure for critically endangered birds on the island."
PREVALENCE OF TRYPANOSOMA CRUZI AND ORGAN ALTERATIONS IN VIRGINIA OPOSSUMS (DIDELPHIS VIRGINIANA) FROM WESTERN MEXICO - SHORT COMMUNICATION,"Small populations of Virginia opossum (Didelphis virginiana) in western Mexico are endangered by hunting and natural predators as well as by different kinds of diseases. After two serological analyses using Serodia (R) latex particle agglutination and indirect haemagglutination (IHA) tests, 35 (53.03%) of 66 collected opossums in two small towns in western Mexico were positive for the presence of Trypanosoma cruzi. Twenty-eight of the 35 seropositive opossums had pathological lesions: 11 had changes in only one organ, 13 in two organs, and four had pathological changes in three organs. Splenomegaly was the most common finding in the examined opossums, followed by hepatomegaly. These potentially fatal pathological changes could contribute to the scarcity of the opossum population, even leading to the extinction of this species in western Mexico."
